roi,mapping,semitones,mean,count
FCz,encoder,0.84,-0.144,8
FCz,encoder,1.07,-0.239,8
FCz,encoder,1.74,-0.317,8
FCz,encoder,3.16,-0.22,24
FCz,encoder,7.02,-0.485,16
FCz,encoder,7.92,0.604,8
FCz,encoder,12.0,0.144,8
FCz,mtrf,0.84,-0.26,8
FCz,mtrf,1.07,-0.307,8
FCz,mtrf,1.74,-1.266,8
FCz,mtrf,3.16,-0.477,24
FCz,mtrf,7.02,-0.686,16
FCz,mtrf,7.92,-1.445,8
FCz,mtrf,12.0,-0.983,8
frontal,encoder,0.84,-1.024,8
frontal,encoder,1.07,-2.933,8
frontal,encoder,1.74,-0.498,8
frontal,encoder,3.16,-1.605,24
frontal,encoder,7.02,-0.303,16
frontal,encoder,7.92,-3.095,8
frontal,encoder,12.0,-1.82,8
frontal,mtrf,0.84,-0.525,8
frontal,mtrf,1.07,-0.696,8
frontal,mtrf,1.74,-4.782,8
frontal,mtrf,3.16,-1.722,24
frontal,mtrf,7.02,-1.634,16
frontal,mtrf,7.92,-4.393,8
frontal,mtrf,12.0,-1.985,8
